EnsembleID	Symbol	n(Celltypes)	Name
ENSG00000143811	PYCR2	2450	pyrroline-5-carboxylate reductase 2
ENSG00000085449	WDFY1	2450	WD repeat and FYVE domain containing 1
ENSG00000119650	IFT43	2450	intraflagellar transport 43
ENSG00000156931	VPS8	2450	VPS8 subunit of CORVET complex
ENSG00000198876	DCAF12	2450	DDB1 and CUL4 associated factor 12
ENSG00000169136	ATF5	2450	activating transcription factor 5
ENSG00000158470	B4GALT5	2450	beta-1,4-galactosyltransferase 5
ENSG00000066933	MYO9A	2450	myosin IXA
ENSG00000159596	TMEM69	2450	transmembrane protein 69
ENSG00000103966	EHD4	2449	EH domain containing 4
ENSG00000136026	CKAP4	2449	cytoskeleton associated protein 4
ENSG00000197555	SIPA1L1	2449	signal induced proliferation associated 1 like 1
ENSG00000135596	MICAL1	2449	microtubule associated monooxygenase, calponin and LIM domain containing 1
ENSG00000154719	MRPL39	2449	mitochondrial ribosomal protein L39
ENSG00000119772	DNMT3A	2449	DNA methyltransferase 3 alpha
ENSG00000081791	DELE1	2449	DAP3 binding cell death enhancer 1
ENSG00000265354	TIMM23	2448	translocase of inner mitochondrial membrane 23
ENSG00000148925	BTBD10	2448	BTB domain containing 10
ENSG00000136243	NUP42	2448	nucleoporin 42
ENSG00000148396	SEC16A	2448	SEC16 homolog A, endoplasmic reticulum export factor
ENSG00000176087	SLC35A4	2448	solute carrier family 35 member A4
ENSG00000074755	ZZEF1	2448	zinc finger ZZ-type and EF-hand domain containing 1
ENSG00000053372	MRTO4	2448	MRT4 homolog, ribosome maturation factor
ENSG00000165434	PGM2L1	2448	phosphoglucomutase 2 like 1
ENSG00000123124	WWP1	2448	WW domain containing E3 ubiquitin protein ligase 1
ENSG00000175115	PACS1	2448	phosphofurin acidic cluster sorting protein 1
ENSG00000168818	STX18	2448	syntaxin 18
ENSG00000109917	ZPR1	2447	ZPR1 zinc finger
ENSG00000156858	PRR14	2447	proline rich 14
ENSG00000158711	ELK4	2447	ETS transcription factor ELK4
ENSG00000122674	CCZ1	2447	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated
ENSG00000125633	CCDC93	2446	coiled-coil domain containing 93
ENSG00000181852	RNF41	2446	ring finger protein 41
ENSG00000150403	TMCO3	2446	transmembrane and coiled-coil domains 3
ENSG00000083535	PIBF1	2446	progesterone immunomodulatory binding factor 1
ENSG00000152464	RPP38	2446	ribonuclease P/MRP subunit p38
ENSG00000147400	CETN2	2446	centrin 2
ENSG00000103591	AAGAB	2446	alpha and gamma adaptin binding protein
ENSG00000137364	TPMT	2446	thiopurine S-methyltransferase
ENSG00000120509	PDZD11	2446	PDZ domain containing 11
ENSG00000153214	TMEM87B	2446	transmembrane protein 87B
ENSG00000164978	NUDT2	2446	nudix hydrolase 2
ENSG00000162869	PPP1R21	2446	protein phosphatase 1 regulatory subunit 21
ENSG00000090006	LTBP4	2446	latent transforming growth factor beta binding protein 4
ENSG00000156873	PHKG2	2446	phosphorylase kinase catalytic subunit gamma 2
ENSG00000175782	SLC35E3	2446	solute carrier family 35 member E3
ENSG00000122591	HYCC1	2446	hyccin PI4KA lipid kinase complex subunit 1
ENSG00000172890	NADSYN1	2446	NAD synthetase 1
ENSG00000186687	LYRM7	2445	LYR motif containing 7
ENSG00000008128	CDK11A	2445	cyclin dependent kinase 11A
ENSG00000140382	HMG20A	2445	high mobility group 20A
ENSG00000241973	PI4KA	2445	phosphatidylinositol 4-kinase alpha
ENSG00000173334	TRIB1	2445	tribbles pseudokinase 1
ENSG00000181744	DIPK2A	2445	divergent protein kinase domain 2A
ENSG00000198001	IRAK4	2445	interleukin 1 receptor associated kinase 4
ENSG00000031823	RANBP3	2445	RAN binding protein 3
ENSG00000136813	ECPAS	2445	Ecm29 proteasome adaptor and scaffold
ENSG00000198546	ZNF511	2445	zinc finger protein 511
ENSG00000172766	NAA16	2445	N-alpha-acetyltransferase 16, NatA auxiliary subunit
ENSG00000168884	TNIP2	2445	TNFAIP3 interacting protein 2
ENSG00000066583	ISOC1	2444	isochorismatase domain containing 1
ENSG00000204257	HLA-DMA	2444	major histocompatibility complex, class II, DM alpha
ENSG00000138035	PNPT1	2444	polyribonucleotide nucleotidyltransferase 1
ENSG00000172530	BANP	2444	BTG3 associated nuclear protein
ENSG00000101236	RNF24	2444	ring finger protein 24
ENSG00000198964	SGMS1	2443	sphingomyelin synthase 1
ENSG00000169180	XPO6	2443	exportin 6
ENSG00000141582	CBX4	2443	chromobox 4
ENSG00000100106	TRIOBP	2443	TRIO and F-actin binding protein
ENSG00000174579	MSL2	2443	MSL complex subunit 2
ENSG00000184584	STING1	2443	stimulator of interferon response cGAMP interactor 1
ENSG00000071051	NCK2	2443	NCK adaptor protein 2
ENSG00000103642	LACTB	2442	lactamase beta
ENSG00000198585	NUDT16	2442	nudix hydrolase 16
ENSG00000196636	SDHAF3	2442	succinate dehydrogenase complex assembly factor 3
ENSG00000198624	CCDC69	2442	coiled-coil domain containing 69
ENSG00000166987	MBD6	2442	methyl-CpG binding domain protein 6
ENSG00000036549	ZZZ3	2442	zinc finger ZZ-type containing 3
ENSG00000127527	EPS15L1	2442	epidermal growth factor receptor pathway substrate 15 like 1
ENSG00000076924	XAB2	2442	XPA binding protein 2
ENSG00000136247	ZDHHC4	2442	zinc finger DHHC-type palmitoyltransferase 4
ENSG00000136940	PDCL	2442	phosducin like
ENSG00000064313	TAF2	2441	TATA-box binding protein associated factor 2
ENSG00000227057	WDR46	2441	WD repeat domain 46
ENSG00000178177	LCORL	2441	ligand dependent nuclear receptor corepressor like
ENSG00000198276	UCKL1	2441	uridine-cytidine kinase 1 like 1
ENSG00000117305	HMGCL	2441	3-hydroxy-3-methylglutaryl-CoA lyase
ENSG00000152102	FAM168B	2441	family with sequence similarity 168 member B
ENSG00000122378	PRXL2A	2441	peroxiredoxin like 2A
ENSG00000076984	MAP2K7	2441	mitogen-activated protein kinase kinase 7
ENSG00000140995	DEF8	2441	differentially expressed in FDCP 8 homolog
ENSG00000164610	RP9	2441	RP9 pre-mRNA splicing factor
ENSG00000100523	DDHD1	2441	DDHD domain containing 1
ENSG00000101773	RBBP8	2440	RB binding protein 8, endonuclease
ENSG00000141252	VPS53	2440	VPS53 subunit of GARP complex
ENSG00000153487	ING1	2440	inhibitor of growth family member 1
ENSG00000106993	CDC37L1	2440	cell division cycle 37 like 1, HSP90 cochaperone
ENSG00000188641	DPYD	2440	dihydropyrimidine dehydrogenase
ENSG00000196843	ARID5A	2440	AT-rich interaction domain 5A
ENSG00000151304	SRFBP1	2440	serum response factor binding protein 1
ENSG00000158793	NIT1	2440	nitrilase 1
ENSG00000099203	TMED1	2439	transmembrane p24 trafficking protein 1
ENSG00000110090	CPT1A	2439	carnitine palmitoyltransferase 1A
ENSG00000143751	SDE2	2439	SDE2 telomere maintenance homolog
ENSG00000108559	NUP88	2439	nucleoporin 88
ENSG00000149308	NPAT	2439	nuclear protein, coactivator of histone transcription
ENSG00000007520	TSR3	2439	TSR3 ribosome maturation factor
ENSG00000204209	DAXX	2439	death domain associated protein
ENSG00000175806	MSRA	2439	methionine sulfoxide reductase A
ENSG00000178105	DDX10	2439	DEAD-box helicase 10
ENSG00000168056	LTBP3	2439	latent transforming growth factor beta binding protein 3
ENSG00000102921	N4BP1	2438	NEDD4 binding protein 1
ENSG00000180329	CCDC43	2438	coiled-coil domain containing 43
ENSG00000182872	RBM10	2438	RNA binding motif protein 10
ENSG00000171703	TCEA2	2438	transcription elongation factor A2
ENSG00000167604	NFKBID	2438	NFKB inhibitor delta
ENSG00000054523	KIF1B	2438	kinesin family member 1B
ENSG00000197892	KIF13B	2438	kinesin family member 13B
ENSG00000244509	APOBEC3C	2438	apolipoprotein B mRNA editing enzyme catalytic subunit 3C
ENSG00000041802	LSG1	2438	large 60S subunit nuclear export GTPase 1
ENSG00000163964	PIGX	2438	phosphatidylinositol glycan anchor biosynthesis class X
ENSG00000213445	SIPA1	2437	signal-induced proliferation-associated 1
ENSG00000148153	INIP	2437	INTS3 and NABP interacting protein
ENSG00000100029	PES1	2437	pescadillo ribosomal biogenesis factor 1
ENSG00000108094	CUL2	2437	cullin 2
ENSG00000088766	CRLS1	2437	cardiolipin synthase 1
ENSG00000140386	SCAPER	2437	S-phase cyclin A associated protein in the ER
ENSG00000121680	PEX16	2437	peroxisomal biogenesis factor 16
ENSG00000163257	DCAF16	2437	DDB1 and CUL4 associated factor 16
ENSG00000237190	CDKN2AIPNL	2437	CDKN2A interacting protein N-terminal like
ENSG00000159110	IFNAR2	2437	interferon alpha and beta receptor subunit 2
ENSG00000203880	PCMTD2	2437	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
ENSG00000085511	MAP3K4	2436	mitogen-activated protein kinase kinase kinase 4
ENSG00000169249	ZRSR2	2436	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2
ENSG00000178695	KCTD12	2436	potassium channel tetramerization domain containing 12
ENSG00000019995	ZRANB1	2436	zinc finger RANBP2-type containing 1
ENSG00000151779	NBAS	2436	NBAS subunit of NRZ tethering complex
ENSG00000100422	CERK	2436	ceramide kinase
ENSG00000167969	ECI1	2436	enoyl-CoA delta isomerase 1
ENSG00000167740	CYB5D2	2436	cytochrome b5 domain containing 2
ENSG00000136731	UGGT1	2436	UDP-glucose glycoprotein glucosyltransferase 1
ENSG00000164898	FMC1	2436	formation of mitochondrial complex V assembly factor 1 homolog
ENSG00000116691	MIIP	2436	migration and invasion inhibitory protein
ENSG00000078043	PIAS2	2436	protein inhibitor of activated STAT 2
ENSG00000111203	ITFG2	2436	integrin alpha FG-GAP repeat containing 2
ENSG00000221823	PPP3R1	2436	protein phosphatase 3 regulatory subunit B, alpha
ENSG00000114738	MAPKAPK3	2436	MAPK activated protein kinase 3
ENSG00000168298	H1-4	2435	H1.4 linker histone, cluster member
ENSG00000100226	GTPBP1	2435	GTP binding protein 1
ENSG00000105854	PON2	2435	paraoxonase 2
ENSG00000141753	IGFBP4	2435	insulin like growth factor binding protein 4
ENSG00000176142	TMEM39A	2435	transmembrane protein 39A
ENSG00000064726	BTBD1	2435	BTB domain containing 1
ENSG00000106636	YKT6	2435	YKT6 v-SNARE homolog
ENSG00000150907	FOXO1	2435	forkhead box O1
ENSG00000138448	ITGAV	2434	integrin subunit alpha V
ENSG00000161533	ACOX1	2434	acyl-CoA oxidase 1
ENSG00000240857	RDH14	2434	retinol dehydrogenase 14
ENSG00000137801	THBS1	2434	thrombospondin 1
ENSG00000153140	CETN3	2434	centrin 3
ENSG00000185420	SMYD3	2434	SET and MYND domain containing 3
ENSG00000185324	CDK10	2434	cyclin dependent kinase 10
ENSG00000135049	AGTPBP1	2434	ATP/GTP binding carboxypeptidase 1
ENSG00000126522	ASL	2433	argininosuccinate lyase
ENSG00000110063	DCPS	2433	decapping enzyme, scavenger
ENSG00000139624	CERS5	2433	ceramide synthase 5
ENSG00000102900	NUP93	2433	nucleoporin 93
ENSG00000168556	ING2	2433	inhibitor of growth family member 2
ENSG00000165417	GTF2A1	2433	general transcription factor IIA subunit 1
ENSG00000123472	ATPAF1	2433	ATP synthase mitochondrial F1 complex assembly factor 1
ENSG00000088298	EDEM2	2433	ER degradation enhancing alpha-mannosidase like protein 2
ENSG00000009335	UBE3C	2433	ubiquitin protein ligase E3C
ENSG00000130338	TULP4	2432	TUB like protein 4
ENSG00000185298	CCDC137	2432	coiled-coil domain containing 137
ENSG00000197226	TBC1D9B	2432	TBC1 domain family member 9B
ENSG00000172732	MUS81	2432	MUS81 structure-specific endonuclease subunit
ENSG00000112715	VEGFA	2432	vascular endothelial growth factor A
ENSG00000106344	RBM28	2432	RNA binding motif protein 28
ENSG00000164331	ANKRA2	2432	ankyrin repeat family A member 2
ENSG00000130939	UBE4B	2432	ubiquitination factor E4B
ENSG00000178104	PDE4DIP	2431	phosphodiesterase 4D interacting protein
ENSG00000109118	PHF12	2431	PHD finger protein 12
ENSG00000196914	ARHGEF12	2431	Rho guanine nucleotide exchange factor 12
ENSG00000089022	MAPKAPK5	2431	MAPK activated protein kinase 5
ENSG00000110315	RNF141	2431	ring finger protein 141
ENSG00000051596	THOC3	2431	THO complex subunit 3
ENSG00000129691	ASH2L	2431	ASH2 like, histone lysine methyltransferase complex subunit
ENSG00000170632	ARMC10	2431	armadillo repeat containing 10
ENSG00000073050	XRCC1	2431	X-ray repair cross complementing 1
ENSG00000105778	AVL9	2431	AVL9 cell migration associated
ENSG00000069399	BCL3	2431	BCL3 transcription coactivator
ENSG00000182919	C11orf54	2431	chromosome 11 open reading frame 54
ENSG00000105397	TYK2	2430	tyrosine kinase 2
ENSG00000164253	WDR41	2430	WD repeat domain 41
ENSG00000086619	ERO1B	2430	endoplasmic reticulum oxidoreductase 1 beta
ENSG00000162496	DHRS3	2430	dehydrogenase/reductase 3
ENSG00000164941	INTS8	2430	integrator complex subunit 8
ENSG00000168395	ING5	2430	inhibitor of growth family member 5
ENSG00000155111	CDK19	2430	cyclin dependent kinase 19
ENSG00000113161	HMGCR	2430	3-hydroxy-3-methylglutaryl-CoA reductase
ENSG00000100418	DESI1	2430	desumoylating isopeptidase 1
ENSG00000167965	MLST8	2430	MTOR associated protein, LST8 homolog
ENSG00000136811	ODF2	2430	outer dense fiber of sperm tails 2
ENSG00000137814	HAUS2	2430	HAUS augmin like complex subunit 2
ENSG00000115232	ITGA4	2429	integrin subunit alpha 4
ENSG00000085274	MYNN	2429	myoneurin
ENSG00000081721	DUSP12	2429	dual specificity phosphatase 12
ENSG00000106462	EZH2	2429	enhancer of zeste 2 polycomb repressive complex 2 subunit
ENSG00000213047	DENND1B	2429	DENN domain containing 1B
ENSG00000149428	HYOU1	2429	hypoxia up-regulated 1
ENSG00000162076	FLYWCH2	2429	FLYWCH family member 2
ENSG00000079819	EPB41L2	2429	erythrocyte membrane protein band 4.1 like 2
ENSG00000148337	CIZ1	2429	CDKN1A interacting zinc finger protein 1
ENSG00000174456	C12orf76	2429	chromosome 12 open reading frame 76
ENSG00000106617	PRKAG2	2429	protein kinase AMP-activated non-catalytic subunit gamma 2
ENSG00000187531	SIRT7	2429	sirtuin 7
ENSG00000171503	ETFDH	2429	electron transfer flavoprotein dehydrogenase
ENSG00000164162	ANAPC10	2429	anaphase promoting complex subunit 10
ENSG00000130222	GADD45G	2429	growth arrest and DNA damage inducible gamma
ENSG00000185104	FAF1	2428	Fas associated factor 1
ENSG00000164151	ICE1	2428	interactor of little elongation complex ELL subunit 1
ENSG00000134109	EDEM1	2428	ER degradation enhancing alpha-mannosidase like protein 1
ENSG00000151491	EPS8	2428	EGFR pathway substrate 8, signaling adaptor
ENSG00000186501	TMEM222	2428	transmembrane protein 222
ENSG00000076604	TRAF4	2428	TNF receptor associated factor 4
ENSG00000197386	HTT	2428	huntingtin
ENSG00000161217	PCYT1A	2428	phosphate cytidylyltransferase 1A, choline
ENSG00000070501	POLB	2427	DNA polymerase beta
ENSG00000164308	ERAP2	2427	endoplasmic reticulum aminopeptidase 2
ENSG00000071794	HLTF	2427	helicase like transcription factor
ENSG00000084652	TXLNA	2427	taxilin alpha
ENSG00000107537	PHYH	2427	phytanoyl-CoA 2-hydroxylase
ENSG00000165410	CFL2	2427	cofilin 2
ENSG00000176018	LYSMD3	2427	LysM domain containing 3
ENSG00000133134	BEX2	2427	brain expressed X-linked 2
ENSG00000085721	RRN3	2427	RRN3 homolog, RNA polymerase I transcription factor
ENSG00000005007	UPF1	2427	UPF1 RNA helicase and ATPase
ENSG00000157601	MX1	2427	MX dynamin like GTPase 1
ENSG00000145365	TIFA	2426	TRAF interacting protein with forkhead associated domain
ENSG00000180773	SLC36A4	2426	solute carrier family 36 member 4
ENSG00000113716	HMGXB3	2426	HMG-box containing 3
ENSG00000165506	DNAAF2	2426	dynein axonemal assembly factor 2
ENSG00000173273	TNKS	2426	tankyrase
ENSG00000117569	PTBP2	2426	polypyrimidine tract binding protein 2
ENSG00000163516	ANKZF1	2426	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1
ENSG00000197713	RPE	2426	ribulose-5-phosphate-3-epimerase
ENSG00000072210	ALDH3A2	2425	aldehyde dehydrogenase 3 family member A2
ENSG00000178149	DALRD3	2425	DALR anticodon binding domain containing 3
ENSG00000138640	FAM13A	2425	family with sequence similarity 13 member A
ENSG00000108599	AKAP10	2425	A-kinase anchoring protein 10
ENSG00000092978	GPATCH2	2425	G-patch domain containing 2
ENSG00000174738	NR1D2	2425	nuclear receptor subfamily 1 group D member 2
ENSG00000137601	NEK1	2425	NIMA related kinase 1
ENSG00000204642	HLA-F	2425	major histocompatibility complex, class I, F
ENSG00000135040	NAA35	2425	N-alpha-acetyltransferase 35, NatC auxiliary subunit
ENSG00000227500	SCAMP4	2425	secretory carrier membrane protein 4
ENSG00000120159	CAAP1	2425	caspase activity and apoptosis inhibitor 1
ENSG00000151502	VPS26B	2425	VPS26 retromer complex component B
ENSG00000126012	KDM5C	2425	lysine demethylase 5C
ENSG00000157538	VPS26C	2425	VPS26 endosomal protein sorting factor C
ENSG00000147894	C9orf72	2425	C9orf72-SMCR8 complex subunit
ENSG00000147996	ZNG1E	2425	Zn regulated GTPase metalloprotein activator 1E
ENSG00000111252	SH2B3	2425	SH2B adaptor protein 3
ENSG00000151729	SLC25A4	2425	solute carrier family 25 member 4
ENSG00000165475	CRYL1	2424	crystallin lambda 1
ENSG00000113615	SEC24A	2424	SEC24 homolog A, COPII coat complex component
ENSG00000170502	NUDT9	2424	nudix hydrolase 9
ENSG00000092140	G2E3	2424	G2/M-phase specific E3 ubiquitin protein ligase
ENSG00000131378	RFTN1	2424	raftlin, lipid raft linker 1
ENSG00000182362	YBEY	2424	ybeY metalloendoribonuclease
ENSG00000168887	C2orf68	2424	chromosome 2 open reading frame 68
ENSG00000108604	SMARCD2	2424	SWI/SNF related BAF chromatin remodeling complex subunit D2
ENSG00000144659	SLC25A38	2424	solute carrier family 25 member 38
ENSG00000140280	LYSMD2	2423	LysM domain containing 2
ENSG00000121879	PIK3CA	2423	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
ENSG00000143443	C1orf56	2423	chromosome 1 open reading frame 56
ENSG00000070770	CSNK2A2	2423	casein kinase 2 alpha 2
ENSG00000167196	FBXO22	2423	F-box protein 22
ENSG00000151332	MBIP	2423	MAP3K12 binding inhibitory protein 1
ENSG00000168010	ATG16L2	2423	autophagy related 16 like 2
ENSG00000143333	RGS16	2423	regulator of G protein signaling 16
ENSG00000130449	ZSWIM6	2422	zinc finger SWIM-type containing 6
ENSG00000165209	STRBP	2422	spermatid perinuclear RNA binding protein
ENSG00000157450	RNF111	2422	ring finger protein 111
ENSG00000108854	SMURF2	2422	SMAD specific E3 ubiquitin protein ligase 2
ENSG00000053770	AP5M1	2422	adaptor related protein complex 5 subunit mu 1
ENSG00000115368	WDR75	2422	WD repeat domain 75
ENSG00000163558	PRKCI	2422	protein kinase C iota
ENSG00000148450	MSRB2	2422	methionine sulfoxide reductase B2
ENSG00000068831	RASGRP2	2422	RAS guanyl releasing protein 2
ENSG00000077238	IL4R	2422	interleukin 4 receptor
ENSG00000087266	SH3BP2	2422	SH3 domain binding protein 2
ENSG00000170619	COMMD5	2422	COMM domain containing 5
ENSG00000136371	MTHFS	2422	methenyltetrahydrofolate synthetase
ENSG00000141510	TP53	2422	tumor protein p53
ENSG00000164219	PGGT1B	2422	protein geranylgeranyltransferase type I subunit beta
ENSG00000048471	SNX29	2422	sorting nexin 29
ENSG00000069020	MAST4	2421	microtubule associated serine/threonine kinase family member 4
ENSG00000171843	MLLT3	2421	MLLT3 super elongation complex subunit
ENSG00000162298	SYVN1	2421	synoviolin 1
ENSG00000023909	GCLM	2421	glutamate-cysteine ligase modifier subunit
ENSG00000171522	PTGER4	2421	prostaglandin E receptor 4
ENSG00000155827	RNF20	2421	ring finger protein 20
ENSG00000077235	GTF3C1	2421	general transcription factor IIIC subunit 1
ENSG00000128908	INO80	2421	INO80 complex ATPase subunit
ENSG00000145439	CBR4	2420	carbonyl reductase 4
ENSG00000148187	MRRF	2420	mitochondrial ribosome recycling factor
ENSG00000120913	PDLIM2	2420	PDZ and LIM domain 2
ENSG00000108306	FBXL20	2420	F-box and leucine rich repeat protein 20
ENSG00000162086	ZNF75A	2420	zinc finger protein 75A
ENSG00000135823	STX6	2420	syntaxin 6
ENSG00000204227	RING1	2420	ring finger protein 1
ENSG00000127663	KDM4B	2420	lysine demethylase 4B
ENSG00000064933	PMS1	2420	PMS1 homolog 1, mismatch repair system component
ENSG00000037474	NSUN2	2420	NOP2/Sun RNA methyltransferase 2
ENSG00000115486	GGCX	2420	gamma-glutamyl carboxylase
ENSG00000134852	CLOCK	2420	clock circadian regulator
ENSG00000101096	NFATC2	2419	nuclear factor of activated T cells 2
ENSG00000144711	IQSEC1	2419	IQ motif and Sec7 domain ArfGEF 1
ENSG00000137055	PLAA	2419	phospholipase A2 activating protein
ENSG00000072864	NDE1	2419	nudE neurodevelopment protein 1
ENSG00000096717	SIRT1	2419	sirtuin 1
ENSG00000117360	PRPF3	2419	pre-mRNA processing factor 3
ENSG00000133028	SCO1	2419	synthesis of cytochrome C oxidase 1
ENSG00000169299	PGM2	2419	phosphoglucomutase 2
ENSG00000138756	BMP2K	2419	BMP2 inducible kinase
ENSG00000138190	EXOC6	2418	exocyst complex component 6
ENSG00000119508	NR4A3	2418	nuclear receptor subfamily 4 group A member 3
ENSG00000161179	YDJC	2418	YdjC chitooligosaccharide deacetylase homolog
ENSG00000139579	NABP2	2418	nucleic acid binding protein 2
ENSG00000088179	PTPN4	2418	protein tyrosine phosphatase non-receptor type 4
ENSG00000197321	SVIL	2418	supervillin
ENSG00000241878	PISD	2418	phosphatidylserine decarboxylase
ENSG00000091592	NLRP1	2418	NLR family pyrin domain containing 1
ENSG00000139725	RHOF	2418	ras homolog family member F, filopodia associated
ENSG00000161920	MED11	2418	mediator complex subunit 11
ENSG00000069667	RORA	2418	RAR related orphan receptor A
ENSG00000105879	CBLL1	2418	Cbl proto-oncogene like 1
ENSG00000166949	SMAD3	2417	SMAD family member 3
ENSG00000173542	MOB1B	2417	MOB kinase activator 1B
ENSG00000116455	WDR77	2417	WD repeat domain 77
ENSG00000119523	ALG2	2417	ALG2 alpha-1,3/1,6-mannosyltransferase
ENSG00000145388	METTL14	2417	methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit
ENSG00000126561	STAT5A	2417	signal transducer and activator of transcription 5A
ENSG00000100564	PIGH	2417	phosphatidylinositol glycan anchor biosynthesis class H
ENSG00000132549	VPS13B	2417	vacuolar protein sorting 13 homolog B
ENSG00000070785	EIF2B3	2417	eukaryotic translation initiation factor 2B subunit gamma
ENSG00000172292	CERS6	2417	ceramide synthase 6
ENSG00000138709	LARP1B	2417	La ribonucleoprotein 1B
ENSG00000011523	CEP68	2417	centrosomal protein 68
ENSG00000138050	THUMPD2	2417	THUMP domain containing 2
ENSG00000147955	SIGMAR1	2417	sigma non-opioid intracellular receptor 1
ENSG00000177853	ZNF518A	2417	zinc finger protein 518A
ENSG00000143322	ABL2	2417	ABL proto-oncogene 2, non-receptor tyrosine kinase
ENSG00000133393	CEP20	2417	centrosomal protein 20
ENSG00000112282	MED23	2417	mediator complex subunit 23
ENSG00000130764	LRRC47	2417	leucine rich repeat containing 47
ENSG00000170088	TMEM192	2416	transmembrane protein 192
ENSG00000139826	ABHD13	2416	abhydrolase domain containing 13
ENSG00000108551	RASD1	2416	ras related dexamethasone induced 1
ENSG00000175224	ATG13	2416	autophagy related 13
ENSG00000165156	ZHX1	2416	zinc fingers and homeoboxes 1
ENSG00000176986	SEC24C	2416	SEC24 homolog C, COPII coat complex component
ENSG00000156671	SAMD8	2416	sterile alpha motif domain containing 8
ENSG00000100485	SOS2	2416	SOS Ras/Rho guanine nucleotide exchange factor 2
ENSG00000117528	ABCD3	2416	ATP binding cassette subfamily D member 3
ENSG00000168566	SNRNP48	2416	small nuclear ribonucleoprotein U11/U12 subunit 48
ENSG00000143207	COP1	2416	COP1 E3 ubiquitin ligase
ENSG00000196182	STK40	2416	serine/threonine kinase 40
ENSG00000162645	GBP2	2415	guanylate binding protein 2
ENSG00000157181	ODR4	2415	odr-4 GPCR localization factor homolog
ENSG00000117533	VAMP4	2415	vesicle associated membrane protein 4
ENSG00000143437	ARNT	2415	aryl hydrocarbon receptor nuclear translocator
ENSG00000173786	CNP	2415	2',3'-cyclic nucleotide 3' phosphodiesterase
ENSG00000135976	ANKRD36	2415	ankyrin repeat domain 36
ENSG00000196850	PPTC7	2414	protein phosphatase targeting COQ7
ENSG00000163947	ARHGEF3	2414	Rho guanine nucleotide exchange factor 3
ENSG00000109586	GALNT7	2414	polypeptide N-acetylgalactosaminyltransferase 7
ENSG00000147364	FBXO25	2414	F-box protein 25
ENSG00000156802	ATAD2	2414	ATPase family AAA domain containing 2
ENSG00000278845	MRPL45	2414	mitochondrial ribosomal protein L45
ENSG00000101052	IFT52	2414	intraflagellar transport 52
ENSG00000166501	PRKCB	2414	protein kinase C beta
ENSG00000153814	JAZF1	2414	JAZF zinc finger 1
ENSG00000160299	PCNT	2414	pericentrin
ENSG00000177951	BET1L	2414	Bet1 golgi vesicular membrane trafficking protein like
ENSG00000042429	MED17	2414	mediator complex subunit 17
ENSG00000168461	RAB31	2414	RAB31, member RAS oncogene family
ENSG00000068308	OTUD5	2414	OTU deubiquitinase 5
ENSG00000148943	LIN7C	2413	lin-7 homolog C, crumbs cell polarity complex component
ENSG00000106537	TSPAN13	2413	tetraspanin 13
ENSG00000177663	IL17RA	2413	interleukin 17 receptor A
ENSG00000198522	GPN1	2413	GPN-loop GTPase 1
ENSG00000113318	MSH3	2413	mutS homolog 3
ENSG00000117174	ZNHIT6	2413	zinc finger HIT-type containing 6
ENSG00000149483	TMEM138	2413	transmembrane protein 138
ENSG00000144357	UBR3	2412	ubiquitin protein ligase E3 component n-recognin 3
ENSG00000138821	SLC39A8	2412	solute carrier family 39 member 8
ENSG00000111845	PAK1IP1	2412	PAK1 interacting protein 1
ENSG00000184436	THAP7	2412	THAP domain containing 7
ENSG00000121481	RNF2	2412	ring finger protein 2
ENSG00000106397	PLOD3	2412	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
ENSG00000119138	KLF9	2412	KLF transcription factor 9
ENSG00000135974	C2orf49	2412	chromosome 2 open reading frame 49
ENSG00000101224	CDC25B	2412	cell division cycle 25B
ENSG00000167186	COQ7	2412	coenzyme Q7, hydroxylase
ENSG00000170836	PPM1D	2412	protein phosphatase, Mg2+/Mn2+ dependent 1D
ENSG00000075618	FSCN1	2412	fascin actin-bundling protein 1
ENSG00000138303	ASCC1	2412	activating signal cointegrator 1 complex subunit 1
ENSG00000166750	SLFN5	2412	schlafen family member 5
ENSG00000112763	BTN2A1	2411	butyrophilin subfamily 2 member A1
ENSG00000180104	EXOC3	2411	exocyst complex component 3
ENSG00000136682	ZNG1B	2411	Zn regulated GTPase metalloprotein activator 1B
ENSG00000163104	SMARCAD1	2411	SNF2 related chromatin remodeling ATPase with DExD box 1
ENSG00000185344	ATP6V0A2	2411	ATPase H+ transporting V0 subunit a2
ENSG00000138867	GUCD1	2411	guanylyl cyclase domain containing 1
ENSG00000184922	FMNL1	2411	formin like 1
ENSG00000171865	RNASEH1	2411	ribonuclease H1
ENSG00000119720	NRDE2	2411	NRDE-2, necessary for RNA interference, domain containing
ENSG00000117298	ECE1	2410	endothelin converting enzyme 1
ENSG00000116954	RRAGC	2410	Ras related GTP binding C
ENSG00000011007	ELOA	2410	elongin A
ENSG00000165312	OTUD1	2410	OTU deubiquitinase 1
ENSG00000082074	FYB1	2410	FYN binding protein 1
ENSG00000152348	ATG10	2410	autophagy related 10
