Gene1	Gene2	Protein1	Protein2
CLP1	CLP1	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)
CLU	PTGDS	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Beta-trace protein) (Cerebrin-28) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (L-PGDS) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)
CLUAP1	TRAF3IP1	Clusterin-associated protein 1 (Qilin)	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)
CLUH	FOXH1	Clustered mitochondria protein homolog	Forkhead box protein H1 (Forkhead activin signal transducer 1) (Fast-1) (hFAST-1) (Forkhead activin signal transducer 2) (Fast-2)
CLVS2	SH3BGRL2	Clavesin-2 (Retinaldehyde-binding protein 1-like 2) (clathrin vesicle-associated Sec14 protein 2)	SH3 domain-binding glutamic acid-rich-like protein 2 (Fovea-associated SH3 domain-binding protein)
CLYBL	OPA3	Citramalyl-CoA lyase, mitochondrial (EC 4.1.3.25) ((3S)-malyl-CoA thioesterase) (EC 3.1.2.30) (Beta-methylmalate synthase) (EC 2.3.3.-) (Citrate lyase subunit beta-like protein) (Citrate lyase beta-like) (Malate synthase) (EC 2.3.3.9)	Optic atrophy 3 protein
CNGB1	EYS	Cyclic nucleotide-gated channel beta-1 (CNG channel beta-1) (Cyclic nucleotide-gated cation channel 4) (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel gamma) (Cyclic nucleotide-gated cation channel modulatory subunit) (Glutamic acid-rich protein) (GARP)	Protein eyes shut homolog (Epidermal growth factor-like protein 10) (EGF-like protein 10) (Epidermal growth factor-like protein 11) (EGF-like protein 11) (Protein spacemaker homolog)
CNGB3	PDE6C	Cyclic nucleotide-gated channel beta-3 (CNG channel beta-3) (Cone photoreceptor cGMP-gated channel subunit beta) (Cyclic nucleotide-gated cation channel beta-3) (Cyclic nucleotide-gated cation channel modulatory subunit)	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)
CNOT1	CNOT10	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CCR4-NOT transcription complex subunit 10
CNPY4	IL11RA	Protein canopy homolog 4	Interleukin-11 receptor subunit alpha (IL-11 receptor subunit alpha) (IL-11R subunit alpha) (IL-11R-alpha) (IL-11RA) [Cleaved into: Soluble interleukin-11 receptor subunit alpha (sIL-11R) (sIL-11RA) (sIL11RA)]
CNTNAP2	IL1RAPL1	Contactin-associated protein-like 2 (Cell recognition molecule Caspr2)	Interleukin-1 receptor accessory protein-like 1 (IL-1-RAPL-1) (IL-1RAPL-1) (IL1RAPL-1) (EC 3.2.2.6) (Oligophrenin-4) (Three immunoglobulin domain-containing IL-1 receptor-related 2) (TIGIRR-2) (X-linked interleukin-1 receptor accessory protein-like 1)
CNTNAP3	CNTNAP3B	Contactin-associated protein-like 3 (Cell recognition molecule Caspr3)	Contactin-associated protein-like 3B (Cell recognition molecule Caspr3b)
COBL	THRB	Protein cordon-bleu	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)
COG1	COG3	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Vesicle-docking protein SEC34 homolog) (p94)
COG2	COG4	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)
COL11A1	COL11A2	Collagen alpha-1(XI) chain	Collagen alpha-2(XI) chain
COL3A1	SPARC	Collagen alpha-1(III) chain	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)
COL4A1	COL4A2	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]
COL4A3	COL4A4	Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin]	Collagen alpha-4(IV) chain
COL4A5	COL4A6	Collagen alpha-5(IV) chain	Collagen alpha-6(IV) chain
COL5A1	COL5A2	Collagen alpha-1(V) chain	Collagen alpha-2(V) chain
COL8A1	COL8A2	Collagen alpha-1(VIII) chain (Endothelial collagen) [Cleaved into: Vastatin]	Collagen alpha-2(VIII) chain (Endothelial collagen)
COL9A2	COL9A3	Collagen alpha-2(IX) chain	Collagen alpha-3(IX) chain
COLEC10	COLEC11	Collectin-10 (Collectin liver protein 1) (CL-L1) (Collectin-34) (CL-34)	Collectin-11 (Collectin kidney protein 1) (CL-K1)
COMMD4	NUDT1	COMM domain-containing protein 4	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)
COPB2	COPZ1	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP)
COQ10A	DEPDC7	Coenzyme Q-binding protein COQ10 homolog A, mitochondrial	DEP domain-containing protein 7 (Protein TR2/D15)
CORO1C	IRF8	Coronin-1C (Coronin-3) (hCRNN4)	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)
CORO2B	PPP2R2C	Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform (IMYPNO1) (PP2A subunit B isoform B55-gamma) (PP2A subunit B isoform PR55-gamma) (PP2A subunit B isoform R2-gamma) (PP2A subunit B isoform gamma)
COX7A2L	OLA1	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	Obg-like ATPase 1 (DNA damage-regulated overexpressed in cancer 45) (DOC45) (GTP-binding protein 9)
COX7B	NDUFS6	Cytochrome c oxidase subunit 7B, mitochondrial (Cytochrome c oxidase polypeptide VIIb)	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)
CPA1	PIP	Carboxypeptidase A1 (EC 3.4.17.1)	Prolactin-inducible protein (Gross cystic disease fluid protein 15) (GCDFP-15) (Prolactin-induced protein) (Secretory actin-binding protein) (SABP) (gp17)
CPA3	CPA3	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)
CPE	SERPINE2	Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)
CPN1	CPN1	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)
CPO	CPO	Carboxypeptidase O (CPO) (EC 3.4.17.-)	Carboxypeptidase O (CPO) (EC 3.4.17.-)
CPS1	MTTP	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	Microsomal triglyceride transfer protein large subunit
CPSF2	SYMPK	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)	Symplekin
CPT1A	IQGAP2	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) (Succinyltransferase CPT1A) (EC 2.3.1.-)	Ras GTPase-activating-like protein IQGAP2
CPTP	SNX15	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	Sorting nexin-15
CPVL	PRCP	Probable serine carboxypeptidase CPVL (EC 3.4.16.-) (Carboxypeptidase, vitellogenic-like) (Vitellogenic carboxypeptidase-like protein) (VCP-like protein) (hVLP)	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)
CRACR2B	RHOV	EF-hand calcium-binding domain-containing protein 4A (Calcium release-activated calcium channel regulator 2B) (CRAC channel regulator 2B) (Calcium release-activated channel regulator 2B)	Rho-related GTP-binding protein RhoV (CDC42-like GTPase 2) (GTP-binding protein-like 2) (Rho GTPase-like protein ARHV) (Wnt-1 responsive Cdc42 homolog 2) (WRCH-2)
CRCP	POLR3B	DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (Calcitonin gene-related peptide-receptor component protein) (CGRP-RCP) (CGRP-receptor component protein) (CGRPRCP) (HsC17)	DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 127.6 kDa polypeptide) (DNA-directed RNA polymerase III subunit B)
CREB5	PRUNE2	Cyclic AMP-responsive element-binding protein 5 (CREB-5) (cAMP-responsive element-binding protein 5) (cAMP-response element-binding protein A) (CRE-BPa)	Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)
CRELD2	FKBP2	Protein disulfide isomerase CRELD2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2)	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)
CRHBP	OIT3	Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP)	Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)
CRK	PINK1	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)
CRLF1	PDGFA	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)
CRTC2	KLHL36	CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2)	Kelch-like protein 36
CRX	KIF1C	Cone-rod homeobox protein	Kinesin-like protein KIF1C
CRY1	PER2	Cryptochrome-1	Period circadian protein homolog 2 (hPER2) (Circadian clock protein PERIOD 2)
CRYBA1	CRYBA4	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]	Beta-crystallin A4 (Beta-A4 crystallin)
CSDE1	SYNCRIP	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)
CSF1R	IL34	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Interleukin-34 (IL-34)
CSN2	CSN2	Beta-casein	Beta-casein
CSN3	CSN3	Kappa-casein	Kappa-casein
CSNK2A1	CSNK2B	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)
CSRP3	MYH7	Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)
CST6	CST6	Cystatin-M (Cystatin-6) (Cystatin-E)	Cystatin-M (Cystatin-6) (Cystatin-E)
CSTF1	CSTF3	Cleavage stimulation factor subunit 1 (CF-1 50 kDa subunit) (Cleavage stimulation factor 50 kDa subunit) (CSTF 50 kDa subunit) (CstF-50)	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)
CTBP1	KHSRP	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)
CTC1	SLC35E2B	CST complex subunit CTC1 (Conserved telomere maintenance component 1) (HBV DNAPTP1-transactivated protein B)	Solute carrier family 35 member E2B
CTDSP1	FMNL1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 3) (NLI-IF) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1)	Formin-like protein 1 (CLL-associated antigen KW-13) (Leukocyte formin)
CTDSPL2	PRIM2	CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-)	DNA primase large subunit (DNA primase 58 kDa subunit) (p58)
CTF1	FGF16	Cardiotrophin-1 (CT-1)	Fibroblast growth factor 16 (FGF-16)
CTH	CTH	Cystathionine gamma-lyase (CGL) (CSE) (EC 4.4.1.1) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase) (EC 4.4.1.2)	Cystathionine gamma-lyase (CGL) (CSE) (EC 4.4.1.1) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase) (EC 4.4.1.2)
CTR9	PAF1	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)
CTRC	CUZD1	Chymotrypsin-C (EC 3.4.21.2) (Caldecrin)	CUB and zona pellucida-like domain-containing protein 1 (CUB and ZP domain-containing protein 1) (Transmembrane protein UO-44)
CTSA	PRSS8	Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]	Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]
CTSO	CTSO	Cathepsin O (EC 3.4.22.42)	Cathepsin O (EC 3.4.22.42)
CUEDC1	GALNT6	CUE domain-containing protein 1	Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)
CUL1	FBXW2	Cullin-1 (CUL-1)	F-box/WD repeat-containing protein 2 (F-box and WD-40 domain-containing protein 2) (Protein MD6)
CUL2	LRR1	Cullin-2 (CUL-2)	Leucine-rich repeat protein 1 (4-1BB-mediated-signaling molecule) (4-1BBlrr) (LRR-repeat protein 1) (LRR-1) (Peptidylprolyl isomerase-like 5)
CUL3	KLHL1	Cullin-3 (CUL-3)	Kelch-like protein 1
CUL4A	RBX1	Cullin-4A (CUL-4A)	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]
CUL7	FBXW8	Cullin-7 (CUL-7)	F-box/WD repeat-containing protein 8 (F-box and WD-40 domain-containing protein 8) (F-box only protein 29)
CUL9	PLCG1	Cullin-9 (CUL-9) (UbcH7-associated protein 1) (p53-associated parkin-like cytoplasmic protein)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)
CWC22	CWC27	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)	Spliceosome-associated protein CWC27 homolog (Antigen NY-CO-10) (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27) (Serologically defined colon cancer antigen 10)
CWC25	TOX4	Pre-mRNA-splicing factor CWC25 homolog (Coiled-coil domain-containing protein 49) (Spliceosome-associated protein homolog CWC25)	TOX high mobility group box family member 4
CWF19L2	NSRP1	CWF19-like protein 2	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)
CXXC1	WDR82	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	WD repeat-containing protein 82
CYB5A	EPHX1	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH)
CYB5D2	RBM23	Neuferricin (Cytochrome b5 domain-containing protein 2)	Probable RNA-binding protein 23 (CAPER beta) (CAPERbeta) (RNA-binding motif protein 23) (RNA-binding region-containing protein 4) (Splicing factor SF2)
CYB5R3	PDLIM7	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)	PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)
CYFIP2	PPM1K	Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121)	Protein phosphatase Mn(2+)-dependent 1K (EC 3.1.3.16) (Branched-chain alpha-ketoacid dehydrogenase phosphatase) (BCKDH) (BDP) (EC 3.1.3.52) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C family member) (Protein phosphatase 2C isoform kappa) (PP2C-kappa) ([3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]-phosphatase, mitochondrial)
CYLD	PAG1	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp)
CYP2C8	MIOX	Cytochrome P450 2C8 (EC 1.14.14.1) (CYPIIC8) (Cytochrome P450 IIC2) (Cytochrome P450 MP-12) (Cytochrome P450 MP-20) (Cytochrome P450 form 1) (S-mephenytoin 4-hydroxylase)	Inositol oxygenase (EC 1.13.99.1) (Aldehyde reductase-like 6) (Kidney-specific protein 32) (Myo-inositol oxygenase) (MI oxygenase) (Renal-specific oxidoreductase)
CYP2D6	TTC36	Cytochrome P450 2D6 (EC 1.14.14.-) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	Tetratricopeptide repeat protein 36 (TPR repeat protein 36) (HSP70-binding protein 21)
CYP3A43	TCP11X2	Cytochrome P450 3A43 (EC 1.14.14.1)	T-complex protein 11-like X-linked protein 2
CYP7B1	SLC25A13	Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (25/26-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.29) (3-hydroxysteroid 7-alpha hydroxylase) (Oxysterol 7-alpha-hydroxylase)	Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Calcium-binding mitochondrial carrier protein Aralar2) (ARALAR-related gene 2) (ARALAR2) (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)
CYTH2	DHPS	Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)	Deoxyhypusine synthase (DHS) (EC 2.5.1.46)
CYYR1	FLT1	Cysteine and tyrosine-rich protein 1 (Proline-rich domain-containing protein)	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)
DAB2IP	KCNIP3	Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)	Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3)
DACT3	TEAD3	Dapper homolog 3 (Antagonist of beta-catenin Dapper homolog 3) (Arginine-rich region 1 protein) (Dapper antagonist of catenin 3)	Transcriptional enhancer factor TEF-5 (DTEF-1) (TEA domain family member 3) (TEAD-3)
DAO	DAO	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)
DAPK1	ITPR1	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Inositol 1,4,5 trisphosphate receptor) (Inositol 1,4,5-trisphosphate receptor type 1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)
DAPK3	SMTN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	Smoothelin
DAZAP2	PRR13	DAZ-associated protein 2 (Deleted in azoospermia-associated protein 2) (Proline-rich transcript in brain protein)	Proline-rich protein 13 (Taxane-resistance protein)
DCAF15	DDA1	DDB1- and CUL4-associated factor 15	DET1- and DDB1-associated protein 1 (Placenta cross-immune reaction antigen 1) (PCIA-1)
DCK	DR1	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	Protein Dr1 (Down-regulator of transcription 1) (Negative cofactor 2-beta) (NC2-beta) (TATA-binding protein-associated phosphoprotein)
DCLK1	NCAM2	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2)
DCP2	DDX6	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc)	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)
DDB1	DDB2	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2)
DDO	KCTD15	D-aspartate oxidase (DASOX) (DASPO) (DDO) (EC 1.4.3.1)	BTB/POZ domain-containing protein KCTD15 (Potassium channel tetramerization domain-containing protein 15)
DDX10	PPHLN1	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	Periphilin-1 (CDC7 expression repressor) (CR) (Gastric cancer antigen Ga50)
DDX20	GEMIN8	Probable ATP-dependent RNA helicase DDX20 (EC 3.6.1.15) (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3)	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)
DDX39A	PTTG1	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)
DDX3X	DDX3Y	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)
DDX4	OR1M1	Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog)	Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5)
DDX5	HNRNPA2B1	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)
