Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
NUP188	KIAA0169	ENSG00000095319	"Nucleoporin 188"	Q5SRE5	9	128947699-129007096	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Cataract, Disease variant, Microphthalmia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 49.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA061750, HPA063942"	Approved		Approved	Nucleoplasm,Nucleoli,Cytosol			No	No			"Cluster 33: Non-specific - ATP binding"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 25: Non-specific - Transcription"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 39: Non-specific - Basic cellular processes"	15	Nucleoplasm	"Nucleoli, Cytosol"	"HPA061750: AB_2684602, HPA063942: AB_2685156"	"unprognostic (8.42e-3)"	"unprognostic (1.02e-1)"	"unprognostic (2.39e-1)"	"unprognostic (6.50e-2)"	"unprognostic (7.76e-2)"	"unprognostic (2.05e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.53e-2)"	"unprognostic (7.68e-2)"	"unprognostic (2.65e-3)"	"potential prognostic favorable (6.59e-4)"	"unprognostic (5.04e-3)"	"unprognostic (3.29e-1)"	"potential prognostic unfavorable (9.41e-4)"	"unprognostic (3.99e-2)"	"unprognostic (4.49e-2)"	"potential prognostic unfavorable (2.62e-5)"	"unprognostic (1.66e-1)"	"unprognostic (1.34e-2)"	"unprognostic (6.23e-2)"	"unprognostic (5.76e-2)"	"unprognostic (1.48e-1)"	"unprognostic (4.44e-2)"	"unprognostic (3.35e-2)"	"unprognostic (2.15e-1)"	"unprognostic (9.19e-3)"	"unprognostic (1.08e-1)"	"unprognostic (1.08e-1)"	"unprognostic (1.83e-1)"	"unprognostic (3.28e-3)"	"unprognostic (5.35e-2)"
NUP210L		ENSG00000143552	"Nucleoporin 210 like"	Q5VU65	1	153992690-154155116	"Cancer-related genes, Metabolic proteins, Predicted membrane proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	42	"testis: 25.8"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 23.1;Excitatory neurons: 6.7;Inhibitory neurons: 8.0;Late spermatids: 8.3;Oligodendrocytes: 17.9;Spermatocytes: 23.2"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA047195, HPA064245, HPA066707"	Enhanced		Approved	"Nuclear bodies,Cytosol"			No	No				"Cluster 20: Testis - Spermatogenesis"	"Cluster 6: Non-specific - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 31: Spermatocytes - Spermatogenesis"		"Nuclear bodies"	Cytosol	"HPA047195: AB_2679980, HPA064245: AB_2685224, HPA066707: AB_2685706"																															
NVL	NVL2	ENSG00000143748	"Nuclear VCP like"	O15381	1	224227334-224330189	"Predicted intracellular proteins"	"Ribosome biogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA028207, HPA028219, HPA028224, HPA028654"	Supported		Enhanced	Nucleoli			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 16: Non-specific - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 5: Enterocytes - Absorption"	13	Nucleoli		"HPA028207: AB_10601382, HPA028219: AB_2672526, HPA028224: AB_2672529, HPA028654: AB_2672714"	"unprognostic (1.09e-1)"	"unprognostic (1.66e-1)"	"unprognostic (4.24e-1)"	"unprognostic (2.24e-2)"	"unprognostic (1.24e-1)"	"unprognostic (2.22e-2)"	"unprognostic (2.89e-1)"	"potential prognostic favorable (9.90e-4)"	"unprognostic (1.76e-1)"	"unprognostic (6.89e-2)"	"unprognostic (6.79e-3)"	"unprognostic (2.10e-1)"	"unprognostic (4.63e-3)"	"unprognostic (2.49e-3)"	"unprognostic (1.86e-1)"	"unprognostic (2.04e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.41e-3)"	"unprognostic (2.45e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.25e-1)"	"unprognostic (1.79e-2)"	"unprognostic (5.11e-2)"	"unprognostic (2.75e-2)"	"unprognostic (1.37e-1)"	"unprognostic (4.84e-2)"	"unprognostic (2.55e-1)"	"unprognostic (5.07e-1)"	"unprognostic (2.75e-1)"	"unprognostic (3.67e-1)"
NXN	"FLJ12614, NRX"	ENSG00000167693	Nucleoredoxin	Q6DKJ4	17	799310-979776	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Wnt signaling pathway"	"Developmental protein, Oxidoreductase"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 71.4;Late spermatids: 88.7;Lymphatic endothelial cells: 78.1;Microglial cells: 83.2"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 640.1;vascular associated smooth muscle cell: 352.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA023566	Approved		Approved	Cytosol			NA	NA				"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	4	Cytosol		"HPA023566: AB_1854737"	"unprognostic (9.80e-2)"	"unprognostic (1.58e-2)"	"unprognostic (1.13e-1)"	"unprognostic (3.13e-1)"	"unprognostic (6.20e-2)"	"unprognostic (2.67e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.36e-3)"	"unprognostic (8.18e-2)"	"unprognostic (2.35e-1)"	"unprognostic (2.19e-3)"	"unprognostic (4.62e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.11e-1)"	"unprognostic (9.69e-3)"	"unprognostic (4.77e-2)"	"unprognostic (1.17e-2)"	"unprognostic (8.99e-2)"	"unprognostic (2.29e-1)"	"unprognostic (1.70e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.75e-2)"	"unprognostic (2.75e-1)"	"unprognostic (2.56e-2)"	"unprognostic (2.01e-2)"	"potential prognostic unfavorable (5.29e-4)"	"unprognostic (3.77e-2)"	"unprognostic (1.31e-1)"	"unprognostic (3.94e-2)"	"unprognostic (2.33e-2)"
NXPE2	"FAM55B, FLJ25224"	ENSG00000204361	"Neurexophilin and PC-esterase domain family member 2"	Q96DL1	11	114678527-114707069	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	17	"epididymis: 24.6;intestine: 9.5;salivary gland: 20.7"	"Cell type enhanced"	"Detected in some"		"Intestinal goblet cells: 6.9;Mucus glandular cells: 6.3;Serous glandular cells: 18.7"	"Low cell type specificity"	"Detected in some"			"Group enriched"	"Detected in some"	4	"Colon Adenocarcinoma (TCGA): 3.0;Rectum Adenocarcinoma (TCGA): 2.0"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Minor Salivary Gland - Minor salivary glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA039744, HPA039876"	Enhanced						NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 75: Serous glandular cells - Salivary secretion"				"HPA039744: AB_2676660, HPA039876: AB_2676721"					"unprognostic (6.46e-3)"	"unprognostic (1.27e-1)"		"unprognostic (5.85e-2)"															"unprognostic (6.32e-2)"		"unprognostic (9.64e-3)"	"unprognostic (5.69e-2)"					
NXPE4	"C11orf33, FAM55D, FLJ20127"	ENSG00000137634	"Neurexophilin and PC-esterase domain family member 4"	Q6UWF7	11	114570591-114595786	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	13	"intestine: 115.8;salivary gland: 75.0"	"Group enriched"	"Detected in some"	17	"Distal enterocytes: 130.4;Enteroendocrine cells: 74.7;Intestinal goblet cells: 81.0;Paneth cells: 34.5;Serous glandular cells: 34.5;Undifferentiated cells: 61.3"	"Cell type enhanced"	"Detected in single"		"mammillary body: 1.3"	"Group enriched"	"Detected in some"	15	"Colon Adenocarcinoma (TCGA): 18.6;Rectum Adenocarcinoma (TCGA): 19.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Plasma cells, Colon - Colon enterocytes"	"Low region specificity"	"Detected in all"							HPA042801	Enhanced				"Secreted to digestive system"	"No annotated function"	NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA042801: AB_10793986"					"unprognostic (6.88e-2)"	"unprognostic (6.33e-2)"																		"unprognostic (2.20e-1)"	"unprognostic (2.53e-2)"	"unprognostic (6.71e-2)"					
NXT2	P15-2	ENSG00000101888	"Nuclear transport factor 2 like export factor 2"	Q9NPJ8	X	109535781-109544698	"Predicted intracellular proteins"	"mRNA transport, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"ependymal cell: 12.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024199, HPA072010"	Approved		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 14: Langerhans cells - Innate immune response"	17	"Nucleoplasm, Cytosol"		"HPA024199: AB_1854738, HPA072010: AB_2686483"	"unprognostic (4.36e-2)"	"unprognostic (1.29e-1)"	"unprognostic (4.98e-2)"	"unprognostic (2.08e-1)"	"unprognostic (3.23e-1)"	"unprognostic (4.92e-2)"	"unprognostic (2.79e-2)"	"unprognostic (5.20e-2)"	"unprognostic (3.08e-1)"	"potential prognostic unfavorable (5.26e-4)"	"potential prognostic favorable (1.24e-5)"	"unprognostic (3.19e-1)"	"unprognostic (2.37e-1)"	"unprognostic (1.72e-2)"	"unprognostic (9.46e-3)"	"unprognostic (1.57e-1)"	"unprognostic (2.53e-2)"	"unprognostic (7.29e-2)"	"unprognostic (7.96e-2)"	"unprognostic (5.60e-2)"	"unprognostic (9.79e-2)"	"unprognostic (8.35e-3)"	"unprognostic (1.36e-1)"	"unprognostic (6.20e-2)"	"unprognostic (4.95e-2)"	"unprognostic (6.82e-2)"	"unprognostic (2.21e-1)"	"unprognostic (4.48e-3)"	"unprognostic (4.76e-1)"	"unprognostic (1.17e-1)"	"unprognostic (2.49e-1)"
OAS2		ENSG00000111335	"2'-5'-oligoadenylate synthetase 2"	P29728	12	112978395-113011723	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Antiviral defense, Immunity, Innate immunity"	"Nucleotidyltransferase, RNA-binding, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"salivary gland: 65.5"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 22.4;Hofbauer cells: 24.1;Kupffer cells: 18.8;Macrophages: 23.4;monocytes: 21.0;NK-cells: 18.2;Plasma cells: 18.5;T-cells: 18.3"	"Cell type enhanced"	"Detected in some"		"endothelial cell: 55.6;leukocyte: 28.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA003320, CAB024984"	Approved		Approved	Centrosome			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 31: Non-specific - Antiviral immune response"	"Cluster 58: Macrophages - Innate immune response"	3	Centrosome		"CAB024984: , HPA003320: "	"unprognostic (3.65e-2)"	"unprognostic (2.37e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.81e-2)"	"unprognostic (8.26e-2)"	"unprognostic (6.01e-2)"	"unprognostic (9.66e-2)"	"unprognostic (1.67e-1)"	"unprognostic (2.52e-1)"	"unprognostic (2.54e-2)"	"unprognostic (2.67e-1)"	"unprognostic (6.91e-3)"	"unprognostic (1.42e-1)"	"unprognostic (2.64e-2)"	"unprognostic (4.54e-2)"	"unprognostic (3.63e-2)"	"unprognostic (9.08e-2)"	"unprognostic (1.12e-1)"	"unprognostic (4.43e-2)"	"unprognostic (4.49e-2)"	"potential prognostic unfavorable (1.07e-4)"	"unprognostic (2.97e-2)"	"unprognostic (5.48e-1)"	"unprognostic (2.25e-1)"	"unprognostic (3.40e-2)"	"unprognostic (2.08e-1)"	"unprognostic (6.88e-2)"	"unprognostic (2.25e-2)"	"unprognostic (9.46e-2)"	"unprognostic (6.90e-2)"
OAT	HOGA	ENSG00000065154	"Ornithine aminotransferase"	P04181	10	124397303-124418976	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Aminotransferase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 760.2"	"Cell type enhanced"	"Detected in all"		"Proximal enterocytes: 1114.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Minor salivary glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033576, HPA040098, HPA064742"	Enhanced		Supported	Nucleoplasm,Mitochondria			NA	NA		7000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 27: Non-specific - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 22: Proximal enterocytes - Digestion"	20	Mitochondria	Nucleoplasm	"CAB033576: AB_2298892, HPA040098: AB_10793955, HPA064742: AB_2685343"	"unprognostic (8.28e-2)"	"unprognostic (1.01e-2)"	"unprognostic (6.11e-2)"	"unprognostic (3.40e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.64e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.03e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.15e-1)"	"potential prognostic favorable (3.63e-6)"	"unprognostic (7.76e-2)"	"unprognostic (1.58e-1)"	"unprognostic (2.35e-1)"	"unprognostic (2.43e-2)"	"unprognostic (1.61e-2)"	"unprognostic (2.03e-1)"	"unprognostic (1.29e-1)"	"unprognostic (3.34e-2)"	"unprognostic (2.62e-3)"	"potential prognostic unfavorable (3.03e-4)"	"unprognostic (1.85e-1)"	"unprognostic (1.02e-1)"	"unprognostic (8.04e-2)"	"unprognostic (4.21e-1)"	"unprognostic (2.14e-1)"	"unprognostic (4.05e-1)"	"unprognostic (9.14e-2)"	"unprognostic (1.78e-1)"	"unprognostic (4.60e-2)"	"unprognostic (2.11e-2)"
OCIAD2	MGC45416	ENSG00000145247	"OCIA domain containing 2"	Q56VL3	4	48885019-48906937	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 149.6"	"Cell type enhanced"	"Detected in many"		"Pancreatic endocrine cells: 640.1;Proximal enterocytes: 708.4;Proximal tubular cells: 1226.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Stomach - Gastric mucous cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040979, HPA041090"	Enhanced		Enhanced	Mitochondria			No	No			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 29: Forebrain - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	2	Mitochondria		"HPA040979: AB_10795497, HPA041090: AB_10796236"	"unprognostic (1.68e-1)"	"unprognostic (7.48e-2)"	"unprognostic (1.41e-1)"	"unprognostic (9.91e-2)"	"unprognostic (5.14e-2)"	"unprognostic (9.29e-2)"	"unprognostic (1.71e-2)"	"unprognostic (1.82e-3)"	"unprognostic (2.28e-2)"	"unprognostic (4.70e-2)"	"potential prognostic favorable (2.01e-6)"	"unprognostic (4.03e-3)"	"potential prognostic favorable (2.26e-6)"	"unprognostic (7.37e-2)"	"potential prognostic favorable (3.40e-4)"	"unprognostic (2.79e-3)"	"unprognostic (3.11e-3)"	"unprognostic (8.99e-2)"	"unprognostic (4.01e-2)"	"unprognostic (1.14e-2)"	"unprognostic (8.46e-2)"	"unprognostic (1.35e-2)"	"unprognostic (2.80e-1)"	"unprognostic (4.70e-2)"	"unprognostic (9.16e-3)"	"unprognostic (1.13e-1)"	"unprognostic (2.03e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.90e-1)"	"unprognostic (1.16e-1)"	"unprognostic (9.79e-2)"
ODAD3	"CCDC151, MGC20983, ODA10"	ENSG00000198003	"Outer dynein arm docking complex subunit 3"	A5D8V7	19	11420604-11435782	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"		"Ciliopathy, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 14.3;parathyroid gland: 9.4;testis: 10.1"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 34.6;Distal tubular cells: 36.9;Kupffer cells: 50.8;Muller glia cells: 48.2;Spermatocytes: 20.5"	"Group enriched"	"Detected in many"	4	"choroid plexus epithelial cell: 39.1;ependymal cell: 59.5"	"Cancer enriched"	"Detected in many"	6	"Kidney Chromophobe (TCGA): 32.0"	"Region enhanced"	"Detected in all"		"choroid plexus: 23.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Heart muscle - Fibroblasts, Lung - Respiratory ciliated cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA054626	Enhanced		Approved	"Principal piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	20	"Principal piece"		"HPA054626: AB_2682547"		"unprognostic (2.22e-1)"	"unprognostic (1.76e-2)"				"unprognostic (4.62e-3)"	"unprognostic (5.18e-2)"		"unprognostic (7.70e-2)"	"unprognostic (1.18e-1)"	"unprognostic (2.66e-1)"	"unprognostic (2.42e-1)"			"unprognostic (6.52e-2)"				"unprognostic (4.93e-2)"	"unprognostic (4.56e-2)"								"unprognostic (2.04e-1)"	"unprognostic (2.71e-1)"	"unprognostic (1.81e-1)"
ODAD4	"DKFZP434H0115, TTC25"	ENSG00000204815	"Outer dynein arm docking complex subunit 4"	Q96NG3	17	41930617-41966503	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"choroid plexus: 11.8;fallopian tube: 16.4;testis: 43.6"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 105.5;Early spermatids: 261.4;Late spermatids: 63.6;Spermatocytes: 82.7"	"Group enriched"	"Detected in all"	4	"choroid plexus epithelial cell: 66.8;ependymal cell: 112.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Lung - Respiratory ciliated cells, Minor Salivary Gland - Endothelial cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA023908	Enhanced		Uncertain	"Centrosome,Basal body,Acrosome,Mid piece,Principal piece,End piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 42: Ciliated cells - Cilium assembly"	7	"Centrosome, Basal body"	"Acrosome, Mid piece, Principal piece, End piece"	"HPA023908: AB_2241243"			"unprognostic (5.29e-2)"				"unprognostic (8.55e-2)"	"unprognostic (4.53e-2)"			"potential prognostic favorable (1.41e-4)"	"unprognostic (4.79e-2)"	"unprognostic (8.42e-2)"			"unprognostic (1.74e-2)"	"unprognostic (2.41e-1)"				"unprognostic (2.34e-2)"		"unprognostic (2.42e-3)"						"unprognostic (7.88e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.45e-1)"
